"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"2429",43,"No","Travel_Rarely","Research & Development",25,4,"Life Sciences",2429,"Male",2,"Sales Executive","Married",22200,1,11,0,10,2,10,8,8,4,4,3,1,3,8.10612085769981,33,146,3
"2430",24,"No","Travel_Rarely","Research & Development",6,3,"Life Sciences",2430,"Male",3,"Sales Executive","Married",10520,1,13,0,5,3,5,0,4,3,3,3,3,3,6.7184988179669,26,0,3
"2431",41,"No","Travel_Rarely","Sales",6,4,"Marketing",2431,"Male",1,"Research Scientist","Single",28210,1,17,0,10,3,10,8,7,4,3,3,3,3,6.98872294372294,30,0,3
"2432",29,"No","Travel_Rarely","Research & Development",2,2,"Life Sciences",2432,"Male",2,"Research Scientist","Married",192370,9,11,1,9,2,5,1,2,4,3,3,3,3,7.87494323671498,31,87,3
"2433",36,"No","Travel_Rarely","Human Resources",1,4,"Life Sciences",2433,"Female",3,"Research Scientist","Single",41070,3,11,1,17,2,13,6,7,3,4,2,1,3,6.29826708507671,22,0,3
"2434",45,"No","Non-Travel","Sales",2,3,"Life Sciences",2434,"Female",2,"Manufacturing Director","Married",83960,3,15,2,25,3,23,14,4,3,3,2,2,3,6.32477848101266,24,0,3
"2435",24,"Yes","Travel_Rarely","Sales",6,2,"Medical",2435,"Female",2,"Manager","Married",20070,1,12,0,1,2,1,0,0,4,3,3,2,3,6.43074113475177,26,0,3
"2436",47,"Yes","Travel_Frequently","Research & Development",1,3,"Medical",2436,"Female",2,"Sales Executive","Married",196270,7,11,2,25,1,23,14,10,3,3,1,3,3,6.79687409024745,32,0,3
"2437",26,"No","Travel_Rarely","Research & Development",9,1,"Medical",2437,"Male",1,"Sales Executive","Married",106860,1,14,1,3,2,3,0,2,4,3,4,3,3,7.68171353452218,18,37,3
"2438",45,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",2438,"Male",1,"Research Director","Single",29420,1,22,1,21,4,21,8,6,4,2,3,3,4,6.62513523391813,33,0,3
"2439",32,"No","Travel_Frequently","Sales",1,1,"Marketing",2439,"Male",2,"Laboratory Technician","Married",88580,6,16,1,10,2,5,1,3,1,3,2,3,3,6.89360756501182,26,0,4
"2440",31,"No","Travel_Rarely","Research & Development",14,2,"Life Sciences",2440,"Male",1,"Sales Executive","Married",167560,1,11,2,6,5,5,0,3,2,3,4,3,3,7.19854373522459,26,0,4
"2441",41,"No","Non-Travel","Sales",2,2,"Medical",2441,"Male",2,"Research Scientist","Married",107980,6,14,2,10,5,3,1,2,3,2,3,1,3,7.69978044638525,32,33,3
"2442",40,"No","Travel_Rarely","Research & Development",22,2,"Technical Degree",2442,"Male",1,"Healthcare Representative","Married",23230,2,16,1,18,2,1,0,0,2,1,3,3,3,9.82421614934773,14,247,3
"2443",24,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",2443,"Female",1,"Research Scientist","Divorced",14160,1,15,1,6,3,6,1,2,2,1,4,2,3,6.01396120293848,19,0,3
"2444",46,"No","Travel_Rarely","Research & Development",6,3,"Medical",2444,"Male",4,"Sales Executive","Single",46150,6,12,0,19,3,10,0,9,3,2,3,2,3,7.56339345839346,30,19,5
"2445",35,"No","Travel_Rarely","Sales",8,4,"Life Sciences",2445,"Male",1,"Laboratory Technician","Married",24610,2,20,1,17,4,7,0,7,4,3,3,3,4,7.41391304347826,31,6,3
"2446",30,"No","Travel_Rarely","Sales",9,4,"Marketing",2446,"Male",1,"Laboratory Technician","Married",87220,1,17,1,10,3,10,0,8,2,4,2,3,3,7.2982941752325,34,2,3
"2447",47,"No","Non-Travel","Research & Development",3,2,"Life Sciences",2447,"Female",2,"Sales Executive","Married",39550,7,12,1,4,5,1,0,0,3,2,1,3,3,7.68386808614782,34,38,3
"2448",46,"No","Travel_Rarely","Research & Development",1,4,"Technical Degree",2448,"Female",3,"Sales Executive","Divorced",99570,4,20,0,13,1,10,0,3,3,4,2,3,4,9.79296449976948,20,241,3
"2449",36,"Yes","Travel_Rarely","Research & Development",1,3,"Medical",2449,"Male",2,"Manufacturing Director","Divorced",33760,5,20,0,16,3,2,2,2,2,1,3,3,4,10.4067611336032,14,247,3
"2450",32,"Yes","Travel_Rarely","Research & Development",26,3,"Medical",2450,"Female",2,"Research Director","Single",88230,6,13,2,10,3,0,0,0,1,2,3,3,3,7.00019808743169,17,0,3
"2451",23,"No","Travel_Rarely","Sales",6,4,"Life Sciences",2451,"Male",3,"Manufacturing Director","Single",103220,1,14,2,3,2,3,1,2,3,2,1,3,3,6.01136342592593,21,0,4
"2452",31,"No","Travel_Frequently","Sales",3,3,"Marketing",2452,"Male",2,"Sales Executive","Single",46210,2,18,1,9,3,5,1,4,4,4,2,3,3,6.50494490358127,19,0,3
"2453",39,"No","Non-Travel","Research & Development",3,3,"Life Sciences",2453,"Female",2,"Manufacturing Director","Married",109760,1,11,0,9,3,9,5,8,4,4,3,2,3,10.1743943533698,17,244,3
"2454",32,"No","Travel_Rarely","Research & Development",6,3,"Technical Degree",2454,"Male",1,"Research Scientist","Married",36600,3,11,2,10,0,4,0,2,4,3,1,2,3,7.64735355648536,22,30,3
"2455",40,"No","Travel_Rarely","Sales",6,3,"Life Sciences",2455,"Male",3,"Manufacturing Director","Single",104820,1,11,1,21,6,21,12,8,2,2,2,2,3,7.93659451659452,30,93,3
"2456",45,"No","Travel_Rarely","Research & Development",19,4,"Medical",2456,"Male",1,"Sales Representative","Married",71190,4,15,0,9,2,5,0,3,3,3,4,3,3,7.79608049886621,16,61,3
"2457",30,"No","Travel_Frequently","Sales",9,3,"Life Sciences",2457,"Male",1,"Research Director","Single",95820,0,12,1,10,2,9,0,7,4,1,3,3,3,6.20451876218324,33,0,3
"2458",24,"No","Travel_Frequently","Sales",3,4,"Marketing",2458,"Male",1,"Sales Executive","Married",45080,0,11,1,3,5,2,2,1,1,4,3,3,3,5.99123082287308,22,0,3
"2459",30,"Yes","Travel_Frequently","Research & Development",10,3,"Life Sciences",2459,"Female",1,"Human Resources","Divorced",22070,6,14,0,6,4,4,1,2,3,4,2,3,3,6.7124874256973,18,0,3
"2460",31,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences",2460,"Male",3,"Laboratory Technician","Married",77560,1,15,2,6,3,5,0,2,1,3,3,4,3,7.61596598639456,16,27,3
"2461",27,"No","Travel_Rarely","Sales",3,3,"Life Sciences",2461,"Male",1,"Manager","Single",66940,1,13,1,6,2,6,1,4,3,4,2,2,3,6.32424782807499,18,0,3
"2462",29,"Yes","Travel_Rarely","Sales",4,3,"Marketing",2462,"Male",5,"Research Scientist","Single",36910,1,13,0,2,3,2,2,2,2,2,3,3,3,6.80957787481805,32,0,5
"2463",29,"No","Travel_Frequently","Research & Development",8,4,"Life Sciences",2463,"Female",1,"Sales Executive","Single",23770,8,21,1,10,2,3,0,2,4,3,4,3,4,8.80662133891213,22,239,3
"2464",30,"No","Travel_Rarely","Sales",7,3,"Life Sciences",2464,"Male",3,"Sales Executive","Divorced",23130,2,11,0,12,5,7,1,7,3,1,3,3,3,7.96613387978142,17,110,3
"2465",34,"No","Travel_Rarely","Research & Development",1,2,"Medical",2465,"Female",2,"Healthcare Representative","Married",176650,0,11,0,6,5,5,1,2,4,4,3,2,3,9.90006886087768,23,238,4
"2466",33,"No","Non-Travel","Research & Development",2,4,"Medical",2466,"Male",1,"Sales Representative","Single",25960,8,14,1,13,4,11,1,7,4,2,2,3,3,7.3853723155929,23,5,3
"2467",49,"No","Travel_Rarely","Sales",3,4,"Marketing",2467,"Male",1,"Sales Executive","Single",47280,3,11,1,8,4,5,0,4,4,4,4,3,3,7.70409981558322,20,33,3
"2468",33,"Yes","Travel_Rarely","Research & Development",10,3,"Life Sciences",2468,"Male",1,"Sales Executive","Single",43020,2,13,0,11,3,0,0,0,1,1,2,1,3,8.28741950113379,16,205,3
"2469",38,"No","Travel_Frequently","Research & Development",28,3,"Medical",2469,"Male",1,"Healthcare Representative","Married",29790,4,12,1,9,3,6,0,5,3,2,2,3,3,7.85580687830688,30,72,3
"2470",31,"Yes","Travel_Rarely","Human Resources",9,4,"Human Resources",2470,"Male",2,"Laboratory Technician","Married",168850,2,14,2,10,2,1,0,0,1,3,3,3,3,6.19289422610383,32,0,3
"2471",29,"No","Travel_Rarely","Research & Development",3,4,"Other",2471,"Female",2,"Sales Representative","Divorced",55930,1,13,1,1,3,1,0,0,4,1,3,3,3,6.33408440629471,28,0,3
"2472",30,"No","Travel_Rarely","Research & Development",2,1,"Medical",2472,"Male",1,"Sales Representative","Married",104450,3,18,1,10,3,7,1,7,3,3,3,3,3,6.77856194690265,35,0,3
"2473",32,"No","Non-Travel","Research & Development",10,4,"Life Sciences",2473,"Female",1,"Laboratory Technician","Single",87400,2,11,1,12,2,7,0,7,2,2,3,3,3,5.9839535440613,29,0,3
"2474",38,"No","Travel_Rarely","Research & Development",8,2,"Technical Degree",2474,"Female",1,"Manufacturing Director","Married",25140,3,11,0,15,2,1,1,0,2,4,3,2,3,9.00400492264416,24,237,3
"2475",43,"Yes","Travel_Frequently","Research & Development",1,4,"Other",2475,"Male",3,"Sales Executive","Married",76550,9,12,1,6,3,1,0,0,3,3,3,3,3,8.37576388888889,29,206,3
"2476",42,"No","Travel_Rarely","Human Resources",1,3,"Other",2476,"Female",1,"Healthcare Representative","Divorced",174650,8,13,1,7,3,5,0,4,2,2,2,3,3,6.70608249880782,28,0,3
"2478",33,"No","Non-Travel","Research & Development",14,3,"Other",2478,"Male",1,"Research Scientist","Divorced",108200,5,12,0,11,2,9,1,7,4,2,2,3,3,6.70041147994468,20,0,3
"2480",34,"No","Non-Travel","Research & Development",7,4,"Medical",2480,"Female",1,"Research Scientist","Divorced",196260,1,21,0,15,5,15,0,7,4,3,3,2,4,8.18945486111111,21,185,3
"2481",53,"No","Non-Travel","Research & Development",10,4,"Medical",2481,"Male",2,"Healthcare Representative","Married",20700,4,13,2,27,2,3,0,2,1,3,2,4,3,8.10130935422602,27,148,4
"2482",43,"No","Travel_Rarely","Sales",16,2,"Marketing",2482,"Female",1,"Laboratory Technician","Single",67820,0,16,1,10,2,9,1,8,2,4,3,3,3,6.09770474137931,29,0,4
"2483",34,"No","Travel_Rarely","Sales",10,2,"Life Sciences",2483,"Female",5,"Sales Executive","Single",77790,5,12,1,6,2,2,2,2,4,4,3,3,3,7.70395955165692,33,36,3
"2484",21,"Yes","Travel_Rarely","Sales",1,2,"Marketing",2484,"Male",5,"Healthcare Representative","Single",27910,1,14,0,1,3,1,1,0,2,2,3,4,3,7.52442536957558,28,16,3
"2485",38,"No","Travel_Rarely","Research & Development",8,2,"Life Sciences",2485,"Female",2,"Sales Executive","Married",32010,1,11,1,5,3,5,0,4,4,3,3,2,3,6.38877018043685,27,0,3
"2486",22,"Yes","Travel_Rarely","Research & Development",1,3,"Other",2486,"Male",4,"Research Scientist","Married",49680,1,14,0,1,3,1,0,0,3,1,3,3,3,8.89042008196721,17,244,3
"2487",31,"No","Travel_Rarely","Research & Development",8,5,"Life Sciences",2487,"Male",5,"Sales Executive","Married",131200,1,12,2,13,6,12,5,7,1,4,3,2,3,7.28006619385343,26,2,3
"2488",51,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",2488,"Female",1,"Manager","Married",40330,2,14,0,15,2,2,2,2,1,3,3,3,3,6.70333810205055,28,0,3
"2489",37,"No","Travel_Rarely","Research & Development",24,1,"Life Sciences",2489,"Male",2,"Sales Executive","Married",32910,1,16,3,5,2,5,0,3,2,2,3,2,3,8.02101258309592,27,119,3
"2490",46,"No","Travel_Rarely","Sales",3,4,"Marketing",2490,"Female",1,"Sales Representative","Divorced",42720,7,13,0,24,3,2,2,2,3,4,3,4,3,9.99405437352246,26,235,3
"2491",36,"No","Travel_Rarely","Research & Development",27,3,"Technical Degree",2491,"Female",4,"Research Scientist","Married",50560,7,12,0,15,2,12,5,7,4,1,3,2,3,9.50415721040189,26,235,3
"2492",44,"Yes","Travel_Frequently","Sales",10,4,"Life Sciences",2492,"Male",1,"Research Scientist","Divorced",28440,1,12,0,6,2,5,2,3,3,2,2,4,3,9.28785201149425,29,232,3
"2493",37,"No","Travel_Rarely","Research & Development",19,2,"Technical Degree",2493,"Male",2,"Sales Executive","Divorced",27030,2,14,0,19,2,10,4,7,3,2,2,3,3,6.1338040446304,22,0,4
"2494",35,"Yes","Travel_Rarely","Research & Development",15,4,"Life Sciences",2494,"Male",2,"Research Scientist","Single",19040,1,22,1,10,4,10,7,7,3,4,3,3,4,8.58257491931766,20,235,3
"2495",33,"No","Travel_Rarely","Research & Development",8,5,"Medical",2495,"Male",2,"Laboratory Technician","Married",82240,6,19,0,14,3,10,7,6,4,1,3,3,3,7.99218031609195,29,113,3
"2496",28,"No","Travel_Rarely","Sales",9,3,"Medical",2496,"Female",2,"Sales Executive","Married",47660,1,12,0,5,3,5,0,3,3,4,4,3,3,7.38982742316785,26,7,4
"2497",39,"No","Travel_Rarely","Sales",3,4,"Marketing",2497,"Female",2,"Laboratory Technician","Single",26100,7,12,0,9,2,4,2,2,3,3,3,2,3,6.90899380066762,28,0,3
"2498",46,"No","Non-Travel","Research & Development",9,2,"Life Sciences",2498,"Male",2,"Manufacturing Director","Single",57310,8,17,0,6,2,2,2,2,2,2,3,3,3,6.69190609019061,22,0,3
"2499",40,"No","Travel_Rarely","Research & Development",2,2,"Medical",2499,"Male",1,"Research Director","Married",25390,4,12,1,7,3,4,0,2,3,1,2,3,3,6.55512281910009,19,0,3
"2500",42,"No","Travel_Rarely","Research & Development",7,4,"Other",2500,"Female",2,"Laboratory Technician","Married",57140,5,11,0,10,2,0,0,0,2,1,2,3,3,6.60040966386555,23,0,3
"2501",35,"No","Non-Travel","Sales",10,1,"Life Sciences",2501,"Female",2,"Research Director","Divorced",43230,2,18,3,15,3,7,1,7,2,4,3,3,3,6.70278235025149,18,0,4
"2502",38,"No","Non-Travel","Sales",6,4,"Marketing",2502,"Male",3,"Sales Executive","Divorced",73360,5,11,0,13,3,11,3,8,1,2,3,3,3,7.75789543910723,32,46,3
"2503",34,"Yes","Travel_Frequently","Research & Development",2,1,"Life Sciences",2503,"Male",1,"Manufacturing Director","Married",134990,4,23,2,11,2,7,0,7,4,1,2,4,4,7.88829725829726,30,84,3
"2504",37,"Yes","Travel_Rarely","Research & Development",24,3,"Life Sciences",2504,"Male",1,"Laboratory Technician","Single",137580,1,11,1,10,5,10,0,8,4,1,1,3,3,6.19627662037037,21,0,4
"2505",39,"No","Travel_Frequently","Research & Development",2,1,"Medical",2505,"Male",2,"Healthcare Representative","Divorced",51550,2,18,1,7,3,2,2,2,3,4,3,2,3,6.19603775853776,30,0,3
"2506",43,"No","Non-Travel","Human Resources",8,5,"Medical",2506,"Female",3,"Sales Executive","Single",22580,4,18,0,7,2,3,1,2,1,3,2,3,3,7.39999158249158,30,4,3
"2507",41,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",2507,"Male",3,"Research Scientist","Single",35970,3,13,1,11,2,3,1,2,2,2,1,1,3,7.81240618908382,33,59,3
"2508",41,"No","Travel_Rarely","Research & Development",1,1,"Technical Degree",2508,"Male",3,"Laboratory Technician","Divorced",25150,0,18,0,23,2,22,13,5,3,3,4,2,3,10.2817696759259,21,240,3
"2509",30,"No","Travel_Rarely","Sales",26,3,"Marketing",2509,"Female",2,"Manager","Single",44200,9,11,0,9,3,7,0,2,1,3,3,3,3,7.11470679012346,27,1,3
"2510",26,"Yes","Travel_Rarely","Human Resources",2,1,"Technical Degree",2510,"Female",3,"Sales Executive","Married",65780,0,15,2,6,3,5,1,4,4,2,3,2,3,8.71812324929972,23,238,3
"2511",46,"Yes","Travel_Rarely","Research & Development",10,3,"Medical",2511,"Male",1,"Sales Executive","Married",44220,4,11,1,13,2,9,3,7,4,2,4,3,3,8.02510047281324,26,135,3
"2512",40,"No","Travel_Rarely","Sales",27,2,"Medical",2512,"Female",3,"Sales Executive","Divorced",102740,4,18,0,12,3,5,0,3,3,4,3,3,3,6.61104052823315,17,0,3
"2513",34,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",2513,"Male",2,"Laboratory Technician","Married",53430,1,14,0,10,5,10,4,8,2,3,3,2,3,7.37671412037037,21,4,3
"2514",58,"No","Non-Travel","Research & Development",2,4,"Medical",2514,"Male",1,"Laboratory Technician","Divorced",23760,4,12,1,37,3,16,14,14,2,2,2,3,3,6.5988820582878,17,0,3
"2515",35,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree",2515,"Female",3,"Manufacturing Director","Married",53460,0,14,0,6,3,5,0,3,2,3,4,2,3,7.41087284983729,22,5,3
"2516",47,"No","Travel_Rarely","Research & Development",19,5,"Medical",2516,"Female",2,"Research Scientist","Divorced",28270,8,14,1,28,3,22,14,10,3,2,3,3,3,10.6789101654846,26,235,3
"2517",40,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",2517,"Male",2,"Manager","Divorced",199430,2,13,1,15,3,7,7,7,2,1,3,3,3,7.22709171455939,29,0,3
"2518",54,"No","Travel_Rarely","Sales",27,4,"Medical",2518,"Male",1,"Research Scientist","Married",31310,4,14,0,14,3,7,1,7,4,4,2,2,3,7.07463126843658,35,0,3
"2519",31,"No","Travel_Frequently","Sales",8,4,"Other",2519,"Female",3,"Manufacturing Director","Married",25520,2,18,0,9,2,3,2,2,1,1,3,3,3,7.49416545366327,32,10,3
"2520",28,"No","Travel_Rarely","Sales",1,2,"Life Sciences",2520,"Male",3,"Manager","Married",44770,1,15,0,3,6,3,1,2,3,1,3,3,3,7.61193987197074,18,25,3
"2521",38,"No","Travel_Rarely","Research & Development",19,3,"Medical",2521,"Female",2,"Manufacturing Director","Married",64740,2,13,2,20,3,4,0,3,2,4,2,1,3,9.50063671696388,18,243,3
"2522",26,"No","Travel_Rarely","Sales",8,3,"Marketing",2522,"Female",1,"Healthcare Representative","Single",30330,1,12,0,5,2,5,1,2,3,4,3,2,3,6.11575714955462,24,0,3
"2523",58,"No","Travel_Frequently","Research & Development",10,4,"Technical Degree",2523,"Female",1,"Sales Representative","Married",29360,2,13,1,23,3,2,2,2,1,3,3,3,3,9.61524036281179,16,245,3
"2524",18,"No","Non-Travel","Research & Development",2,3,"Life Sciences",2524,"Male",3,"Sales Representative","Single",186060,1,24,2,0,4,0,0,0,2,3,1,3,4,7.63103347889374,32,25,3
"2525",31,"Yes","Travel_Rarely","Research & Development",2,3,"Life Sciences",2525,"Male",3,"Laboratory Technician","Married",21680,0,14,1,2,2,1,0,0,4,1,3,3,3,6.141918767507,23,0,3
"2526",29,"Yes","Travel_Rarely","Research & Development",8,2,"Medical",2526,"Male",1,"Manager","Divorced",28530,4,14,1,4,5,2,2,0,1,1,3,2,3,8.67291892502258,15,245,3
"2527",45,"No","Non-Travel","Sales",1,4,"Technical Degree",2527,"Male",1,"Research Scientist","Married",170480,4,15,0,10,3,8,5,7,3,3,4,2,3,7.19962512291052,35,0,3
"2528",36,"No","Travel_Rarely","Sales",2,3,"Technical Degree",2528,"Female",5,"Laboratory Technician","Married",22900,4,11,0,15,5,1,0,0,4,2,3,3,3,10.6820055325035,20,241,3
"2529",43,"No","Travel_Frequently","Sales",8,3,"Medical",2529,"Male",1,"Research Director","Married",36000,1,23,0,7,2,7,7,7,1,4,3,3,4,7.03189643347051,18,0,3
"2530",27,"No","Travel_Frequently","Sales",8,4,"Life Sciences",2530,"Male",5,"Research Scientist","Single",21070,0,13,0,6,2,5,0,2,4,4,2,3,3,10.2213628117914,16,245,3
"2531",29,"No","Travel_Frequently","Research & Development",6,2,"Medical",2531,"Male",1,"Human Resources","Married",41150,1,11,0,11,1,11,3,10,4,4,4,3,3,7.69263031550069,18,37,3
"2532",32,"No","Travel_Frequently","Sales",9,4,"Life Sciences",2532,"Male",4,"Sales Executive","Single",43270,8,13,0,4,4,0,0,0,4,4,4,3,3,7.59613051916545,32,17,3
"2533",42,"No","Non-Travel","Research & Development",11,3,"Medical",2533,"Male",1,"Manager","Married",178560,3,18,0,10,2,6,3,3,3,3,2,3,3,6.49667131566713,22,0,3
"2534",47,"No","Travel_Rarely","Sales",2,2,"Life Sciences",2534,"Female",5,"Manager","Single",31960,4,14,1,7,3,2,2,0,2,3,3,2,3,6.11558285849953,27,0,3
"2535",46,"No","Travel_Rarely","Human Resources",1,3,"Life Sciences",2535,"Female",1,"Laboratory Technician","Divorced",190810,3,21,0,12,2,9,4,7,4,4,2,3,4,7.19226324425691,24,1,3
"2536",28,"No","Non-Travel","Research & Development",7,3,"Life Sciences",2536,"Male",1,"Sales Executive","Divorced",89660,1,16,1,3,3,3,2,2,3,4,3,2,3,7.71670702754036,27,39,3
"2537",29,"No","Travel_Rarely","Research & Development",16,3,"Medical",2537,"Female",1,"Manufacturing Director","Divorced",22100,8,11,1,11,4,7,1,6,4,3,3,3,3,8.04127258355917,15,132,3
"2538",42,"No","Travel_Rarely","Sales",2,4,"Medical",2538,"Female",2,"Research Director","Single",45390,4,17,1,8,5,0,0,0,4,3,3,3,3,6.59646876490224,28,0,3
"2539",32,"Yes","Travel_Rarely","Research & Development",1,1,"Medical",2539,"Male",2,"Laboratory Technician","Single",27410,7,11,0,7,3,2,2,2,3,2,2,3,3,10.4266999540863,19,242,3
"2540",46,"No","Travel_Rarely","Research & Development",23,1,"Life Sciences",2540,"Male",2,"Laboratory Technician","Divorced",34910,2,14,0,25,0,19,2,8,1,1,3,3,3,7.88029239766082,33,74,3
"2541",27,"No","Travel_Rarely","Sales",2,3,"Life Sciences",2541,"Female",5,"Research Scientist","Married",45410,1,14,2,9,4,9,5,8,2,3,3,4,3,7.12459562438545,35,0,4
"2542",29,"No","Travel_Rarely","Research & Development",1,2,"Medical",2542,"Male",3,"Sales Executive","Married",26780,1,25,1,1,3,1,0,0,4,2,3,3,4,7.96337787154243,24,105,4
"2543",43,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",2543,"Male",1,"Manufacturing Director","Married",73790,7,13,2,21,3,16,6,14,1,3,3,2,3,6.28669358786099,34,0,3
"2544",48,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",2544,"Female",2,"Manager","Married",62720,4,14,0,29,3,22,12,9,4,2,3,2,3,6.08562590975255,32,0,3
"2545",29,"Yes","Travel_Frequently","Research & Development",13,2,"Life Sciences",2545,"Female",1,"Laboratory Technician","Single",52200,1,17,0,1,3,1,1,0,4,4,2,2,3,8.59923459485687,32,222,3
"2546",46,"Yes","Travel_Rarely","Research & Development",4,4,"Medical",2546,"Female",2,"Sales Representative","Married",27430,5,25,1,14,1,8,0,7,3,2,3,4,4,7.88810416666667,21,89,3
"2547",27,"No","Travel_Frequently","Research & Development",16,4,"Medical",2547,"Male",3,"Healthcare Representative","Married",49980,0,20,2,8,3,7,7,3,4,1,2,3,4,7.6780461393597,25,34,3
"2548",39,"No","Travel_Rarely","Research & Development",2,3,"Technical Degree",2548,"Male",3,"Healthcare Representative","Divorced",102520,8,13,1,7,3,2,2,2,4,4,3,3,3,6.53538720538721,30,0,3
"2549",55,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",2549,"Female",1,"Human Resources","Married",27810,8,13,1,19,2,5,0,4,2,4,4,3,3,6.19050516224189,35,0,3
"2550",28,"No","Travel_Rarely","Research & Development",29,2,"Life Sciences",2550,"Male",2,"Laboratory Technician","Married",68520,1,18,1,1,2,1,0,0,2,2,3,4,3,6.99329068695251,20,0,3
"2551",30,"Yes","Travel_Rarely","Sales",12,4,"Life Sciences",2551,"Female",2,"Sales Executive","Single",49500,1,12,2,1,3,1,0,0,2,4,2,3,3,7.68362368541381,18,36,3
"2552",22,"Yes","Travel_Rarely","Research & Development",16,2,"Life Sciences",2552,"Female",2,"Laboratory Technician","Single",35790,1,19,3,1,3,1,0,0,4,2,3,3,3,10.5086558769513,19,242,3
"2553",36,"No","Travel_Rarely","Research & Development",11,3,"Life Sciences",2553,"Male",1,"Sales Executive","Married",131910,1,14,1,10,2,10,1,7,2,3,3,2,3,9.49698792270531,31,230,3
"2554",31,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences",2554,"Female",5,"Manager","Divorced",103770,1,14,0,10,2,10,0,2,2,3,3,3,3,7.51697302240512,18,11,3
"2555",34,"No","Travel_Rarely","Sales",14,2,"Technical Degree",2555,"Female",1,"Sales Executive","Married",22350,2,14,1,9,2,5,1,0,3,4,3,3,3,8.09531385281385,30,140,3
"2556",29,"No","Travel_Rarely","Research & Development",5,5,"Life Sciences",2556,"Female",1,"Sales Executive","Single",105020,3,12,0,11,4,3,1,2,4,1,3,2,3,7.07558539944904,19,1,3
"2557",37,"No","Travel_Rarely","Research & Development",7,2,"Medical",2557,"Male",1,"Manufacturing Director","Married",20110,5,13,0,16,4,5,0,4,4,1,3,4,3,8.70323188405797,31,226,3
"2558",35,"No","Travel_Rarely","Sales",2,1,"Technical Degree",2558,"Male",2,"Laboratory Technician","Married",18590,0,25,1,4,2,3,0,2,4,2,3,2,4,10.5157151056015,19,242,4
"2559",45,"No","Travel_Rarely","Research & Development",3,3,"Medical",2559,"Female",2,"Sales Executive","Married",37600,0,14,1,10,2,9,3,8,2,4,2,2,3,7.11403127917834,23,1,3
"2560",36,"No","Travel_Frequently","Research & Development",5,3,"Medical",2560,"Female",4,"Manufacturing Director","Single",177790,1,17,1,10,5,10,0,8,2,4,2,1,3,6.53714766714767,30,0,3
"2561",40,"No","Travel_Rarely","Research & Development",3,3,"Other",2561,"Male",1,"Sales Executive","Divorced",68330,2,13,0,22,3,19,11,16,1,1,3,3,3,6.8087317251462,33,0,3
"2562",26,"No","Travel_Rarely","Research & Development",26,2,"Life Sciences",2562,"Male",2,"Human Resources","Married",68120,1,13,0,1,2,1,1,0,2,3,2,2,3,9.30621830336561,20,241,3
"2563",27,"No","Travel_Rarely","Research & Development",4,3,"Technical Degree",2563,"Male",2,"Manufacturing Director","Single",51710,0,20,1,9,1,8,0,7,1,3,2,2,4,7.59368326118326,30,20,3
"2564",48,"No","Travel_Frequently","Research & Development",2,3,"Life Sciences",2564,"Male",2,"Research Director","Divorced",197400,3,14,0,24,2,22,4,7,4,4,3,4,3,7.18557613168724,18,0,3
"2565",44,"No","Travel_Rarely","Sales",1,2,"Medical",2565,"Male",4,"Manager","Married",187110,2,12,1,10,0,2,2,2,2,1,3,3,3,7.07818247126437,29,0,4
"2566",34,"Yes","Non-Travel","Research & Development",27,2,"Life Sciences",2566,"Female",1,"Sales Representative","Married",36920,1,12,1,5,5,5,3,0,4,1,3,3,3,10.214114959115,30,231,3
"2567",56,"Yes","Travel_Rarely","Human Resources",1,2,"Medical",2567,"Female",5,"Sales Executive","Single",25590,1,21,0,5,3,4,1,0,1,4,3,3,4,6.89561805555556,21,0,3
"2568",36,"No","Travel_Rarely","Research & Development",13,3,"Technical Degree",2568,"Female",3,"Healthcare Representative","Married",25170,2,14,0,12,3,4,1,3,3,2,1,3,3,7.31920433145009,25,3,3
"2570",42,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",2570,"Female",2,"Sales Executive","Married",182650,9,12,1,18,4,13,5,7,3,1,4,3,3,7.41578985507246,31,9,4
"2571",31,"No","Travel_Rarely","Sales",9,4,"Life Sciences",2571,"Female",1,"Sales Executive","Divorced",161240,2,23,1,8,2,5,1,4,3,4,3,2,4,8.31741748024175,22,204,3
